PlanTable,ItemID,OptionPhase,PackID,Description,OnlineDescription,Qty,UOM,SellEach,CostEach,ExtPrice,ExtCost,MarginDollar,MarginPercent,Category,PriceLevel,CostUOM,BlendCost,AvgCost
plan_1670ABCD_CR,LS50,"167010105 - 4085 , 167010205 - 4085 , 167010305 - 4085 , 167010405 - 4085",|22ABCD 3RD CAR GARAGE WALLS,shear clip,"LS50 5"" ADJ L ANGLE SIMPSON",24,EA,2.22,1.7301,53.28,41.5224,$0.49 ,22.07%,4502,05,1.7301,,
plan_1670ABCD_CR,2610458DF,"167020003 - 4085 , 167020004 - 4085 , 167020006 - 4085 , 167020007 - 4085",|23.1ABCD 10x10 COVERED PATIO,studs,"2X6-104-5/8"" STUD DF PET",2,MBF,517.24,3.87,9.31,7.74,$87.24 ,16.87%,2505,09,430,,
plan_1670ABCD_CR,41012GDF2,"167020003 - 4085 , 167020004 - 4085 , 167020006 - 4085 , 167020007 - 4085",|23.1ABCD 10x10 COVERED PATIO,beam,4X10-12' #2 DF GRN,2,MBF,815.48,25.799996,65.24,51.599992,$170.48 ,20.91%,2201,09,644.9999,,
plan_1670ABCD_CR,6612HF2TICGC,"167020003 - 4085 , 167020004 - 4085 , 167020006 - 4085 , 167020007 - 4085",|23.1ABCD 10x10 COVERED PATIO,post,6X6-12' #2 HF TRTD GC ICT,2,MBF,1681,48.5226216,121.03,97.0452432,$333.15 ,19.82%,3004,09,1347.8506,,
plan_1670ABCD_CR,ABU66Z,"167020003 - 4085 , 167020004 - 4085 , 167020006 - 4085 , 167020007 - 4085",|23.1ABCD 10x10 COVERED PATIO,post base,ABU66 6X6 ADJ. POST Z-MAX,2,EA,41.35,32.2501,82.7,64.5002,$9.10 ,22.01%,4502,05,32.2501,,
plan_1670ABCD_CR,EPC6Z,"167020003 - 4085 , 167020004 - 4085 , 167020006 - 4085 , 167020007 - 4085",|23.1ABCD 10x10 COVERED PATIO,post cap,6X END POST CAP Z-MAX,2,EA,32.65,25.47,65.3,50.94,$7.18 ,21.99%,4502,05,25.47,,
plan_1670ABCD_CR,HUC410Z,"167020003 - 4085 , 167020004 - 4085 , 167020006 - 4085 , 167020007 - 4085",|23.1ABCD 10x10 COVERED PATIO,beam hanger,HUC410Z 4X10 F/M HGR CFLG ZMAX,2,EA,18.82,14.6799,37.64,29.3598,$4.14 ,22.00%,4502,05,14.6799,,
plan_1670ABCD_CR,STB2-62500,"167020003 - 4085 , 167020004 - 4085 , 167020006 - 4085 , 167020007 - 4085",|23.1ABCD 10x10 COVERED PATIO,post base anchor,"5/8 X 5"" STRONG-BOLT 2 ANCHOR",2,EA,2.59,1.3,5.18,2.6,$1.29 ,49.81%,4520,05,1.3,,
plan_1670ABCD_CR,41010GDF2,167020006 - 4085,|23.1C 10x10 COVERED PATIO FRAMING,beam,4X10-10' #2 DF GRN,1,MBF,815.48,21.499785,27.18,21.499785,$170.48 ,20.91%,2201,09,645,,
plan_1670ABCD_CR,HUC410Z,167020006 - 4085,|23.1C 10x10 COVERED PATIO FRAMING,beam hanger,HUC410Z 4X10 F/M HGR CFLG ZMAX,2,EA,18.82,14.6799,37.64,29.3598,$4.14 ,22.00%,4502,05,14.6799,,
