Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
062.405 OPT 2 CAR GARAGE 4' EXT SIDING AND,7,,2CAR4XC,62.4x,OPT 2 CAR GARAGE 4' EXT SIDING AND,1100,Siding,XXXX-62.4x-1100,PPPP,062.405,**,2100,PPPP-062.405-**-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,A,3CARA,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,A,2100,PPPP-062.000-A-2100
062.000 OPT 3CAR EXTERIOR TRIM AND SIDING  ,7,A,3CARA,62,OPT 3CAR EXTERIOR TRIM AND SIDING  ,1100,Siding,XXXX-62-1100,PPPP,062.000,A,2100,PPPP-062.000-A-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,B,3CARB,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,B,2100,PPPP-062.000-B-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,B,3CARB,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,B,2100,PPPP-062.000-B-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,B,3CARB,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,B,2100,PPPP-062.000-B-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,B,3CARB,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,B,2100,PPPP-062.000-B-2100
062.000 OPT 3CAR EXTERIOR TRIM AND SIDING  ,7,B,3CARB,62,OPT 3CAR EXTERIOR TRIM AND SIDING  ,1100,Siding,XXXX-62-1100,PPPP,062.000,B,2100,PPPP-062.000-B-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,"B, C, D","3CARB, 3CARC, 3CARD",62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,BCD,2100,PPPP-062.000-BCD-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,"B, D","3CARB, 3CARD",62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,BD,2100,PPPP-062.000-BD-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,C,3CARC,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,C,2100,PPPP-062.000-C-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,C,3CARC,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,C,2100,PPPP-062.000-C-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,C,3CARC,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,C,2100,PPPP-062.000-C-2100
062.000 OPT 3CAR EXTERIOR TRIM AND SIDING  ,7,C,3CARC,62,OPT 3CAR EXTERIOR TRIM AND SIDING  ,1100,Siding,XXXX-62-1100,PPPP,062.000,C,2100,PPPP-062.000-C-2100
062.000 3RD CAR GARAGE SIDING AND TRIM  ,7,D,3CARD,62,3RD CAR GARAGE SIDING AND TRIM  ,1100,Siding,XXXX-62-1100,PPPP,062.000,D,2100,PPPP-062.000-D-2100
062.005 OPT EXTENDED GARAGE SIDING    ,7,,2CAR4XA,62.2x,OPT EXTENDED GARAGE SIDING    ,1100,Siding,XXXX-62.2x-1100,PPPP,062.005,**,2100,PPPP-062.005-**-2100
062.005 OPT EXTENDED GARAGE SIDING    ,7,,2CAR4XB,62.2x,OPT EXTENDED GARAGE SIDING    ,1100,Siding,XXXX-62.2x-1100,PPPP,062.005,**,2100,PPPP-062.005-**-2100
062.005 OPT EXTENDED GARAGE SIDING    ,7,,2CAR4XC,62.2x,OPT EXTENDED GARAGE SIDING    ,1100,Siding,XXXX-62.2x-1100,PPPP,062.005,**,2100,PPPP-062.005-**-2100
063.000 COVERED PATIO SIDING     ,7,,COVP,63,COVERED PATIO SIDING     ,1100,Siding,XXXX-63-1100,PPPP,063.000,**,2100,PPPP-063.000-**-2100
063.119 COVERED DECK PATIO HOUSEWRAP    ,6,,COVP,63.1,COVERED DECK PATIO HOUSEWRAP    ,1100,Siding,XXXX-63.1-1100,PPPP,063.119,**,2100,PPPP-063.119-**-2100
063.100 COVERED PATIO 1 SIDING    ,7,,COVP,63.1,COVERED PATIO 1 SIDING    ,1100,Siding,XXXX-63.1-1100,PPPP,063.100,**,2100,PPPP-063.100-**-2100
063.119 COVERED PATIO HOUSEWRAP     ,6,,COVP,63.1,COVERED PATIO HOUSEWRAP     ,1100,Siding,XXXX-63.1-1100,PPPP,063.119,**,2100,PPPP-063.119-**-2100
063.100 OPT COVERED PATIO 1 SIDING   ,7,,COVP,63.1,OPT COVERED PATIO 1 SIDING   ,1100,Siding,XXXX-63.1-1100,PPPP,063.100,**,2100,PPPP-063.100-**-2100
063.100 OPT COVERED PATIO 1 SIDING   ,7,"A, B, C",COVP,63.1,OPT COVERED PATIO 1 SIDING   ,1100,Siding,XXXX-63.1-1100,PPPP,063.100,ABC,2100,PPPP-063.100-ABC-2100
063.100 OPT COVERED PATIO SIDING    ,7,,COVP,63.1,OPT COVERED PATIO SIDING    ,1100,Siding,XXXX-63.1-1100,PPPP,063.100,**,2100,PPPP-063.100-**-2100
063.107 OPT COVERED PATIO POST WRAP   ,7 or 8,,COVP,63.1p,OPT COVERED PATIO POST WRAP   ,1100,Siding,XXXX-63.1p-1100,PPPP,063.107,**,2100,PPPP-063.107-**-2100
063.200 COVERED PATIO 2 SIDING    ,7,,COVP2,63.2,COVERED PATIO 2 SIDING    ,1100,Siding,XXXX-63.2-1100,PPPP,063.200,**,2100,PPPP-063.200-**-2100
063.207 COVERED PATIO 2 POST WRAP   ,7 or 8,,COVP2,63.2p,COVERED PATIO 2 POST WRAP   ,1100,Siding,XXXX-63.2p-1100,PPPP,063.207,**,2100,PPPP-063.207-**-2100
063.207 COVERED PATIO 2 POST WRAP   ,7 or 8,,COVP2,63.2p,COVERED PATIO 2 POST WRAP   ,1100,Siding,XXXX-63.2p-1100,PPPP,063.207,**,2100,PPPP-063.207-**-2100
063.300 OPT COVERED PATIO SIDING    ,7,,COVP3,63.3,OPT COVERED PATIO SIDING    ,1100,Siding,XXXX-63.3-1100,PPPP,063.300,**,2100,PPPP-063.300-**-2100
063.307 COVERED PATIO 2 POST WRAP   ,7 or 8,,COVP3,63.3p,COVERED PATIO 2 POST WRAP   ,1100,Siding,XXXX-63.3p-1100,PPPP,063.307,**,2100,PPPP-063.307-**-2100
063.307 OPT COVERED PATIO POST WRAP   ,7 or 8,,COVP3,63.3p,OPT COVERED PATIO POST WRAP   ,1100,Siding,XXXX-63.3p-1100,PPPP,063.307,**,2100,PPPP-063.307-**-2100
063.610 COVERED PATIO SUNROOM SIDING    ,7,,COVPSN1,63.61,COVERED PATIO SUNROOM SIDING    ,1100,Siding,XXXX-63.61-1100,PPPP,063.610,**,2100,PPPP-063.610-**-2100
063.610 COVERED PATIO SUNROOM POST WRAP   ,7 or 8,,COVP,63.61,COVERED PATIO SUNROOM POST WRAP   ,1100,Siding,XXXX-63.61-1100,PPPP,063.610,**,2100,PPPP-063.610-**-2100
063.007 COVERED PATIO POST WRAP    ,7,,COVP,63.pw,COVERED PATIO POST WRAP    ,1100,Siding,XXXX-63.pw-1100,PPPP,063.007,**,2100,PPPP-063.007-**-2100
063.006 COVERED PATIO @ SUNROOM SIDING   ,7,,"COVPSN1, COVD1SN",63.sr,COVERED PATIO @ SUNROOM SIDING   ,1100,Siding,XXXX-63.sr-1100,PPPP,063.006,**,2100,PPPP-063.006-**-2100
063.005 EXTENDED COVERED PATIO SIDING    ,7,,COVPX,63.xc,EXTENDED COVERED PATIO SIDING    ,1100,Siding,XXXX-63.xc-1100,PPPP,063.005,**,2100,PPPP-063.005-**-2100
065.100 OPT COVERED DECK SIDING    ,7,,COVD,65.1,OPT COVERED DECK SIDING    ,1100,Siding,XXXX-65.1-1100,PPPP,065.100,**,2100,PPPP-065.100-**-2100
065.107 OPT COVERED DECK POST WRAP   ,7 or 8,,COVD,65.1p,OPT COVERED DECK POST WRAP   ,1100,Siding,XXXX-65.1p-1100,PPPP,065.107,**,2100,PPPP-065.107-**-2100
065.200 COVERED DECK 2 SIDING    ,7,,COVD2,65.2,COVERED DECK 2 SIDING    ,1100,Siding,XXXX-65.2-1100,PPPP,065.200,**,2100,PPPP-065.200-**-2100
065.207 COVERED DECK 2 POST WRAP   ,7,,COVD2,65.2p,COVERED DECK 2 POST WRAP   ,1100,Siding,XXXX-65.2p-1100,PPPP,065.207,**,2100,PPPP-065.207-**-2100
065.300 OPT COVERED DECK SIDING    ,7,,COVD3,65.3,OPT COVERED DECK SIDING    ,1100,Siding,XXXX-65.3-1100,PPPP,065.300,**,2100,PPPP-065.300-**-2100
065.307 OPT COVERED DECK POST WRAP   ,7 or 8,,COVD3,65.3p,OPT COVERED DECK POST WRAP   ,1100,Siding,XXXX-65.3p-1100,PPPP,065.307,**,2100,PPPP-065.307-**-2100
074.100 DECK SURFACE & RAIL    ,8 or 9,,DECK,74.1,DECK SURFACE & RAIL    ,1100,Siding,XXXX-74.1-1100,PPPP,074.100,**,2100,PPPP-074.100-**-2100
074.200 DECK SURFACE & RAIL    ,8 or 9,,DECK2,74.2,DECK SURFACE & RAIL    ,1100,Siding,XXXX-74.2-1100,PPPP,074.200,**,2100,PPPP-074.200-**-2100
074.300 DECK SURFACE & RAIL    ,8 or 9,,DECK3,74.3,DECK SURFACE & RAIL    ,1100,Siding,XXXX-74.3-1100,PPPP,074.300,**,2100,PPPP-074.300-**-2100
074.605 DECK SURFACE & RAIL @ EXT GRT RM,8 or 9,,"XGREAT, COVD2, WO2",74.6,DECK SURFACE & RAIL @ EXT GRT RM,1100,Siding,XXXX-74.6-1100,PPPP,074.605,**,2100,PPPP-074.605-**-2100
074.005 EXT DECK SURFACE & RAIL   ,8 or 9,,"COVD2, WO",74.ed,EXT DECK SURFACE & RAIL   ,1100,Siding,XXXX-74.ed-1100,PPPP,074.005,**,2100,PPPP-074.005-**-2100
075.100 DECK SURFACE & RAIL    ,8 or 9,,COVD,75.1,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.1-1100,PPPP,075.100,**,2100,PPPP-075.100-**-2100
075.118 STAIRS SURFACE & RAIL    ,8 or 9,,COVD,75.1s,STAIRS SURFACE & RAIL    ,1100,Siding,XXXX-75.1s-1100,PPPP,075.118,**,2100,PPPP-075.118-**-2100
075.200 DECK SURFACE & RAIL    ,8 or 9,,COVD2,75.2,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.2-1100,PPPP,075.200,**,2100,PPPP-075.200-**-2100
075.218 STAIRS SURFACE & RAIL    ,8 or 9,,COVD2,75.2s,STAIRS SURFACE & RAIL    ,1100,Siding,XXXX-75.2s-1100,PPPP,075.218,**,2100,PPPP-075.218-**-2100
075.300 DECK SURFACE & RAIL    ,8 or 9,,COVD3,75.3,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.3-1100,PPPP,075.300,**,2100,PPPP-075.300-**-2100
075.908 DECK SURFACE & RAIL    ,8 or 9,,TALLCRWL,75.tc,DECK SURFACE & RAIL    ,1100,Siding,XXXX-75.tc-1100,PPPP,075.908,**,2100,PPPP-075.908-**-2100
