Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
018.830 OPT DEN W/FULL BATH SUBFLOOR   ,2,"B, C, D",DENF,18.83,OPT DEN W/FULL BATH SUBFLOOR   ,1000,Framing,XXXX-18.83-1000,PPPP,018.830,BCD,1000,PPPP-018.830-BCD-1000
018.000 MAIN SUBFLOOR      ,2,"B, C, D",,18,MAIN SUBFLOOR      ,1000,Framing,XXXX-18-1000,PPPP,018.000,BCD,1000,PPPP-018.000-BCD-1000
020.000 MAIN FLOOR WALLS     ,3,,,20,MAIN FLOOR WALLS     ,1000,Framing,XXXX-20-1000,PPPP,020.000,**,1000,PPPP-020.000-**-1000
020.010 OPT DBL      ,3,,SIDED FIREPLACE,20.01,OPT DBL      ,1000,Framing,XXXX-20.01-1000,PPPP,020.010,**,1000,PPPP-020.010-**-1000
020.020 OPT GREAT ROOM WINDOWS    ,3,,WDWGREAT,20.02,OPT GREAT ROOM WINDOWS    ,1000,Framing,XXXX-20.02-1000,PPPP,020.020,**,1000,PPPP-020.020-**-1000
020.020 OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE ,3,,WDWGRALT,20.02,OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE ,1000,Framing,XXXX-20.02-1000,PPPP,020.020,**,1000,PPPP-020.020-**-1000
020.020 OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,3,,WDWGRTX,20.02,OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,1000,Framing,XXXX-20.02-1000,PPPP,020.020,**,1000,PPPP-020.020-**-1000
020.060 OPT FLEX WINDOW     ,3,,,20.06,OPT FLEX WINDOW     ,1000,Framing,XXXX-20.06-1000,PPPP,020.060,**,1000,PPPP-020.060-**-1000
020.120 OPT CENTER MEET DOOR    ,3,,MSLIDE1,20.12,OPT CENTER MEET DOOR    ,1000,Framing,XXXX-20.12-1000,PPPP,020.120,**,1000,PPPP-020.120-**-1000
020.122 OPT CENTER MEET DOOR @ LOFT  ,3,,MSLIDE1,20.2l,OPT CENTER MEET DOOR @ LOFT  ,1000,Framing,XXXX-20.2l-1000,PPPP,020.123,**,1000,PPPP-020.122-**-1000
020.130 OPT MULT      ,3,,"SLIDE DOOR, MSLIDE2",20.13,OPT MULT      ,1000,Framing,XXXX-20.13-1000,PPPP,020.130,**,1000,PPPP-020.130-**-1000
020.132 OPT MULTI      ,3,,"SLIDE DOOR @ LOFT, MSLIDE2",20.3l,OPT MULTI      ,1000,Framing,XXXX-20.3l-1000,PPPP,020.133,**,1000,PPPP-020.132-**-1000
