Sku,Description,Elevation,Option,Pack,Quantity,Price
2820DF2,2X8-20' #2&BTR DF,A,,|40 ROOF,1,653.41
716OSB,7/16"4X8 OSB RTD,A,,|40 ROOF,116,302.27
SS7648CS,4X8 TX SOFFIT SMART STRAND 76,A,,|40 ROOF,10,1758.82
HTS20,SIMPSON HTS20 TWIST STRAP,A,,|40 ROOF,4,2.32
STC,SIMPSON STC ROOF CLIP,A,,|40 ROOF,14,0.51
ARS28RA,ARS28 "SUPER ANCHOR" ROOF,A,,|40 ROOF,2,63.49
PSCL1/2EA,1/2" STEEL PLYWOOD CLIP (EA),A,,|40 ROOF,360,0.08
9125DWRA,9'X125' TYVEK DRAINWRP RICHMND,,,|58 HOUSEWRAP,4,171.99
TTAPE3-164RA,3"X164' TYVEK WHT TP RICHMOND,,,|58 HOUSEWRAP,12,17.99
475DFTRA,4"X75' DUPONT FLASH TP RICHMND,,,|58 HOUSEWRAP,8,30.09
975TFWNFRA,9"X75' TYVEK FW NF TP RICHMOND,,,|58 HOUSEWRAP,4,172.99
CH38SP,3/8" STINGER STAPLE PAC 2016CT,,,|58 HOUSEWRAP,4,57.36
DPWS,10.3 OZ TUBE DUPONT SEALANT,,,|58 HOUSEWRAP,22,4.99
RWLATH50,48" WOOD LATH-BLUNT END 50PC,,,|58 HOUSEWRAP,1,20.89
6812FOHCS4S,6 x 8 ; KD #1/Btr Doug Fir FOHC Timbers S4S,A,,|60 EXTERIOR TRIM AND SIDING-A,1,1142.86
2220WWP,2"X2"-20' WW PRIMED,A,,|60 EXTERIOR TRIM AND SIDING-A,15,1683.72
2820WWP,2"X8"-20' WW PRIMED,A,,|60 EXTERIOR TRIM AND SIDING-A,2,1487.21
HZ10410CMP,PAN PR CDRML 4X10,A,,|60 EXTERIOR TRIM AND SIDING-A,11,1362.35
HZ1048CMP,PAN PR CEDRML 4X8,A,,|60 EXTERIOR TRIM AND SIDING-A,2,1362.35
HZ1049CMP,PAN PR CEDRML 4X9,A,,|60 EXTERIOR TRIM AND SIDING-A,5,1362.35
HZ10614CMSP,PLK PR CM SEL HZ10 6.25X12,A,,|60 EXTERIOR TRIM AND SIDING-A,4,1349.41
HZ10814CMSP,PLK PR CM SEL HZ10 8.25X12,A,,|60 EXTERIOR TRIM AND SIDING-A,546,1349.41
HZ1012CMSP,PLK PR CM SEL HZ10 12X12',A,,|60 EXTERIOR TRIM AND SIDING-A,4,1349.41
HZU1312RB,TRM 4/4 BATT PR RG HZ 2.5X12',A,,|60 EXTERIOR TRIM AND SIDING-A,32,4714.12
HZU54412RT,TRM 5/4 PR RG HZ 3.5X12',A,,|60 EXTERIOR TRIM AND SIDING-A,62,5130.59
HZU54612RT,TRM 5/4 PR RG HZ 5.5X12',A,,|60 EXTERIOR TRIM AND SIDING-A,4,5130.59
HZU54812RT,TRM 5/4 PR RG HZ 7.25X12',A,,|60 EXTERIOR TRIM AND SIDING-A,5,5130.59
HZU541012RT,TRM 5/4 PR RG HZ 9.25X12',A,,|60 EXTERIOR TRIM AND SIDING-A,2,5130.59
EM390073,4X1-1/8X3/8 WHT HIGH BACK FLSH,A,,|60 EXTERIOR TRIM AND SIDING-A,16,9.23
EM390075,4X1-5/8X3/8 WHT HIGH BACK FLSH,A,,|60 EXTERIOR TRIM AND SIDING-A,3,9.74
517317,4X2-1/2X3/8 110D WHITE,A,,|60 EXTERIOR TRIM AND SIDING-A,5,20.18
XZH516,TAMLYN 5/16"X 10 Z-FLASHING,A,,|60 EXTERIOR TRIM AND SIDING-A,3,17.50
MD71550,CAULK BACKER ROD 3/8" X 350',A,,|60 EXTERIOR TRIM AND SIDING-A,2,46.77
PPG725MLBR,7.25"X9.5" LIGHT BLOCK RUSTIC,A,,|60 EXTERIOR TRIM AND SIDING-A,3,11.76
PPGPR101EB,5.5"X7.5"RECEPTACLE BLOCK RSTC,A,,|60 EXTERIOR TRIM AND SIDING-A,2,11.03
PPGPS104BB,5.5"X7.5"R&R SPLT MOUNT BIB SM,A,,|60 EXTERIOR TRIM AND SIDING-A,2,11.76
4128JNTFLSHEA,4-1/2"X8" POLY JNT FLASH EA PC,A,,|60 EXTERIOR TRIM AND SIDING-A,370,0.37
QFP100,QUICKFLASH PLUMB FLASHNG P-100,A,,|60 EXTERIOR TRIM AND SIDING-A,4,6.53
TYFWEZ,2-3/4"X15' TYVEK FLEXWRAP EZ,A,,|60 EXTERIOR TRIM AND SIDING-A,2,23.79
RO249088,PAINTERS TOUCH PRIMER 2X GRAY,A,,|60 EXTERIOR TRIM AND SIDING-A,4,6.99
TX1WHT10,TX1 TEXT POLY SEALANT WHT 10OZ,A,,|60 EXTERIOR TRIM AND SIDING-A,90,5.66
HZU1612RT,TRM 4/4 PR RG HZ 5.5X12',A,,|60.pw POST WRAP-A,1,4714.12
HZU1812RT,TRM 4/4 PR RG HZ 7.25X12',A,,|60.pw POST WRAP-A,4,4714.12
HZU541012RT,TRM 5/4 PR RG HZ 9.25X12',A,,|60.pw POST WRAP-A,4,5130.59
TX1WHT10,TX1 TEXT POLY SEALANT WHT 10OZ,A,,|60.pw POST WRAP-A,2,5.66
