Description,Blank1,Blank2,Sku,Quantity,Price,Blank4,Pack
3/8" STINGER STAPLE PAC 2016CT,,,CH38SP,4,57.36000,,|58 HOUSEWRAP
10.3 OZ TUBE DUPONT SEALANT,,,DPWS,22,4.99000,,|58 HOUSEWRAP
48" WOOD LATH-BLUNT END 50PC,,,RWLATH50,1,20.89000,,|58 HOUSEWRAP
6 x 8 ; KD #1/Btr Doug Fir FOHC Timbers S4S,,,6812FOHCS4S,1,1142.86000,,|60 EXTERIOR TRIM AND SIDING-A
2"X2"-20' WW PRIMED,,,2220WWP,15,1683.72000,,|60 EXTERIOR TRIM AND SIDING-A
2"X8"-20' WW PRIMED,,,2820WWP,2,1487.21000,,|60 EXTERIOR TRIM AND SIDING-A
PAN PR CDRML 4X10,,,HZ10410CMP,11,1362.35000,,|60 EXTERIOR TRIM AND SIDING-A
PAN PR CEDRML 4X8,,,HZ1048CMP,2,1362.35000,,|60 EXTERIOR TRIM AND SIDING-A
PAN PR CEDRML 4X9,,,HZ1049CMP,5,1362.35000,,|60 EXTERIOR TRIM AND SIDING-A
PLK PR CM SEL HZ10 6.25X12,,,HZ10614CMSP,4,1349.41000,,|60 EXTERIOR TRIM AND SIDING-A
PLK PR CM SEL HZ10 8.25X12,,,HZ10814CMSP,546,1349.41000,,|60 EXTERIOR TRIM AND SIDING-A
PLK PR CM SEL HZ10 12X12',,,HZ1012CMSP,4,1349.41000,,|60 EXTERIOR TRIM AND SIDING-A
TRM 4/4 BATT PR RG HZ 2.5X12',,,HZU1312RB,32,4714.12000,,|60 EXTERIOR TRIM AND SIDING-A
TRM 5/4 PR RG HZ 3.5X12',,,HZU54412RT,62,5130.59000,,|60 EXTERIOR TRIM AND SIDING-A
TRM 5/4 PR RG HZ 5.5X12',,,HZU54612RT,4,5130.59000,,|60 EXTERIOR TRIM AND SIDING-A
TRM 5/4 PR RG HZ 7.25X12',,,HZU54812RT,5,5130.59000,,|60 EXTERIOR TRIM AND SIDING-A
TRM 5/4 PR RG HZ 9.25X12',,,HZU541012RT,2,5130.59000,,|60 EXTERIOR TRIM AND SIDING-A
4X1-1/8X3/8 WHT HIGH BACK FLSH,,,EM390073,16,9.23000,,|60 EXTERIOR TRIM AND SIDING-A
4X1-5/8X3/8 WHT HIGH BACK FLSH,,,EM390075,3,9.74000,,|60 EXTERIOR TRIM AND SIDING-A
4X2-1/2X3/8 110D WHITE,,,517317,5,20.18000,,|60 EXTERIOR TRIM AND SIDING-A
TAMLYN 5/16"X 10 Z-FLASHING,,,XZH516,3,17.50000,,|60 EXTERIOR TRIM AND SIDING-A
CAULK BACKER ROD 3/8" X 350',,,MD71550,2,46.77000,,|60 EXTERIOR TRIM AND SIDING-A
7.25"X9.5" LIGHT BLOCK RUSTIC,,,PPG725MLBR,3,11.76000,,|60 EXTERIOR TRIM AND SIDING-A
5.5"X7.5"RECEPTACLE BLOCK RSTC,,,PPGPR101EB,2,11.03000,,|60 EXTERIOR TRIM AND SIDING-A
5.5"X7.5"R&R SPLT MOUNT BIB SM,,,PPGPS104BB,2,11.76000,,|60 EXTERIOR TRIM AND SIDING-A
4-1/2"X8" POLY JNT FLASH EA PC,,,4128JNTFLSHEA,370,0.37000,,|60 EXTERIOR TRIM AND SIDING-A
QUICKFLASH PLUMB FLASHNG P-100,,,QFP100,4,6.53000,,|60 EXTERIOR TRIM AND SIDING-A
2-3/4"X15' TYVEK FLEXWRAP EZ,,,TYFWEZ,2,23.79000,,|60 EXTERIOR TRIM AND SIDING-A
PAINTERS TOUCH PRIMER 2X GRAY,,,RO249088,4,6.99000,,|60 EXTERIOR TRIM AND SIDING-A
TX1 TEXT POLY SEALANT WHT 10OZ,,,TX1WHT10,90,5.66000,,|60 EXTERIOR TRIM AND SIDING-A
TRM 4/4 PR RG HZ 5.5X12',,,HZU1612RT,1,4714.12000,,|60.pw POST WRAP-A
TRM 4/4 PR RG HZ 7.25X12',,,HZU1812RT,4,4714.12000,,|60.pw POST WRAP-A
TRM 5/4 PR RG HZ 9.25X12',,,HZU541012RT,4,5130.59000,,|60.pw POST WRAP-A
TX1 TEXT POLY SEALANT WHT 10OZ,,,TX1WHT10,2,5.66000,,|60.pw POST WRAP-A
