CUSTOMER,HERITAGE HMS OF MOLALLA OR*,,,,,,,,,,,,,,,"03
ENGINEERED WOOD PRODUCTS","04
TRUSSES AND WALL PANELS","05
MILLWORK","06
WINDOWS","07
DOORS","08
CABINETS & TOPS","09
SIDINGS, METAL AND CONCRETE","10
INSULATION, WEATHERPROOFING","11
ROOFING","12
GYPSUM & ACCESSORIES","13
HARDWARE, TOOLS, FASTENERS","14
HOME CENTER PRODUCTS",special
MARGIN CHANGES TO APPLY,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,11,12,13,14,15
"Enter your margin changes below. Use ""ALL"" in Item ID to apply to entire category.",,,,,,,,,,,,,,,,10,01,11,12,10,09,09,08,06,08,05,01,l5
Pricing Zone,Product Category,Minor Category,Item ID,Description,New Margin %,Apply to ALL?,Multiple Items,Single Item,Price Level,Status,Target Column,Notes,Category,Dart_Category_No,Minor_Category_No
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,2,#N/A
,,,,,,,,,,,,,#N/A,2,#N/A
,,,,,,,,,,,,,#N/A,2,#N/A
,,,,,,,,,,,,,#N/A,2,#N/A
,,,,,,,,,,,,,#N/A,2,#N/A
,,,,,,,,,,,,,#N/A,2,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#N/A,1,#N/A
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!
