CUSTOMER,HERITAGE HMS OF MOLALLA OR*
PRICE CHANGES TO APPLY
"Enter your margin changes below. Use ""ALL"" in Item ID to apply to entire category."
Pricing Zone,Product Category,Minor Category,Item ID,Description,New_Price,Price Level,Status,Target Column,Notes,Category,Dart_Category_No,Minor_Category_No
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,46GDF2,4X6-RL #2 DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,468GDF2,4X6-8' #2&BTR DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4610GDF2,4X6-10' #2&BTR DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4612GDF2,4X6-12' #2&BTR DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4614GDF2,4X6-14' #2&BTR DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4616GDF2,4X6-16' #2&BTR DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4618GDF2,4X6-18' #2&BTR DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4620GDF2,4X6-20' #2&BTR DF GRN,636.9,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,48GDF2,4X8-RL #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,488GDF2,4X8-8' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4810GDF2,4X8-10' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4812GDF2,4X8-12' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4814GDF2,4X8-14' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4816GDF2,4X8-16' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4820GDF2,4X8-20' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,410GDF2,4X10-RL #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4108GDF2,4X10-8' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41010GDF2,4X10-10' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41012GDF2,4X10-12' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41014GDF2,4X10-14' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41016GDF2,4X10-16' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41020GDF2,4X10-20' #2 DF GRN,809.52,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,412GDF2,4X12-RL #2 DF GRN,732.14,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,4128GDF2,4X12-8' #2&BTR DF GRN,732.14,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41210GDF2,4X12-10' #2&BTR DF GRN,732.14,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41212GDF2,4X12-12' #2&BTR DF GRN,732.14,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41214GDF2,4X12-14' #2&BTR DF GRN,732.14,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41216GDF2,4X12-16' #2&BTR DF GRN,732.14,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
PORTOR,22 - TIMBERS/BEAMS/CEDAR,2201 - HEM/DOUG FIR-TIMBERS/BEAMS,41220GDF2,4X12-20' #2&BTR DF GRN,732.14,09,,AR,Will update PL09 → Column AR,2201 ,1,2201
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
