Sku,Qty,Description,Pack,Manual Price,System Price,System Cost,Type,Qty UOM,Price UOM,EXT Price,Manual Cost,Margin (Avg %),Last Edited By,Day/Time,Price Source,Price Territory,Begin/End Date,Category,Target Margin,Minimum Margin,Price Last Update,Vendor Reprice Date,Notes,Tally Measurements,Extended Description,Estimator Notes
MF04685EA,0,5/8-11 FIN HEX NUT 25#,|20 MAIN WALLS,0.69000,0.69000,,ST,EA,EA,0.0000000000000,,89.9,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,07/21/2025,4503,,,11/19/2025,,,,,
MF04685EA,2,5/8-11 FIN HEX NUT 25#,|20 MAIN WALLS-A,0.69000,0.69000,,ST,EA,EA,1.3800000000000,,89.9,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,07/21/2025,4503,,,11/19/2025,,,,,holddown nut
MSTA24,0,24" MEDIUM STRAP TIE SIMPSON,|20 MAIN WALLS,1.63000,2.29000,,ST,EA,EA,0.0000000000000,,22.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,
MSTA24,8,24" MEDIUM STRAP TIE SIMPSON,|20 MAIN WALLS-A,1.63000,2.29000,,ST,EA,EA,13.0400000000000,,22.1,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,06/02/2025,4502,,,11/19/2025,,,,,portal frame strap
STB2-62500,0,5/8 X 5" STRONG-BOLT 2 ANCHOR,|20 MAIN WALLS,2.59000,2.59000,,ST,EA,EA,0.0000000000000,,44.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/13/2025,4520,,,11/19/2025,,,,,
STB2-62500,1,5/8 X 5" STRONG-BOLT 2 ANCHOR,|20 MAIN WALLS-A,2.59000,2.59000,,ST,EA,EA,2.5900000000000,,44.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/13/2025,4520,,,11/19/2025,,,,,post base anchor
24SBB,0,2X4 22-7/16 SOLID BIRD BLOCK,|20rf MAIN WALLS READYFRAME,0.72000,0.99000,,ST,BOM,BOM,0.0000000000000,,69.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2510,,,11/19/2025,,,,,
24SBB,8,2X4 22-7/16 SOLID BIRD BLOCK,|20rf MAIN WALLS READYFRAME-A,0.72000,0.99000,,ST,BOM,BOM,5.7600000000000,,69.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2510,,,11/19/2025,,,,,blocking
26SBB,0,2X6 22-7/16 SOLID BIRD BLOCK,|20rf MAIN WALLS READYFRAME,0.72000,0.99000,,ST,BOM,BOM,0.0000000000000,,69.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2510,,,11/19/2025,,,,,
26SBB,31,2X6 22-7/16 SOLID BIRD BLOCK,|20rf MAIN WALLS READYFRAME-A,0.72000,0.99000,,ST,BOM,BOM,22.3200000000000,,69.4,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2510,,,11/19/2025,,,,,blocking
